,Ranking,Movie,Rating,Year,Crew
165,166,"Three Billboards Outside Ebbing, Missouri",8.11,2017,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson"
166,167,Trainspotting,8.11,1996,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner"
167,168,Warrior,8.1,2011,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte"
168,169,Fargo,8.1,1996,"Joel Coen (dir.), William H. Macy, Frances McDormand"
169,170,Gran Torino,8.1,2008,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang"
170,171,Prisoners,8.1,2013,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal"
171,172,Tonari no Totoro,8.09,1988,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka"
172,173,Million Dollar Baby,8.09,2004,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood"
173,174,Catch Me If You Can,8.09,2002,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks"
174,175,Bacheha-Ye aseman,8.09,1997,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian"
175,176,The Gold Rush,8.09,1925,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain"
176,177,Blade Runner,8.08,1982,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer"
177,178,On the Waterfront,8.08,1954,"Elia Kazan (dir.), Marlon Brando, Karl Malden"
178,179,Before Sunrise,8.08,1995,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
179,180,12 Years a Slave,8.08,2013,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams"
180,181,Harry Potter and the Deathly Hallows - Part 2,8.08,2011,"David Yates (dir.), Daniel Radcliffe, Emma Watson"
181,182,Ben-Hur,8.08,1959,"William Wyler (dir.), Charlton Heston, Jack Hawkins"
182,183,Smultronstället,8.08,1957,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson"
183,184,The Third Man,8.08,1949,"Carol Reed (dir.), Orson Welles, Joseph Cotten"
184,185,Gone Girl,8.08,2014,"David Fincher (dir.), Ben Affleck, Rosamund Pike"
185,186,The General,8.08,1926,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack"
